icd10parent,icd10parentdesc,icd10children1,icd10children1desc,icd10children2,icd10children2desc
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F01-F09,Mental disorders due to known physiological conditions,F09,Unspecified mental disorder due to known physiological condition
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F10,Alcohol related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F11,Opioid related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F12,Cannabis related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F13,"Sedative, hypnotic, or anxiolytic related disorders"
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F14,Cocaine related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F15,Other stimulant related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F16,Hallucinogen related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F17,Nicotine dependence
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F18,Inhalant related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F10-F19,Mental and behavioral disorders due to psychoactive substance use,F19,Other psychoactive substance related disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F20,Schizophrenia
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F21,Schizotypal disorder
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F22,Delusional disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F23,Brief psychotic disorder
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F24,Shared psychotic disorder
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F25,Schizoaffective disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F28,Other psychotic disorder not due to a substance or known physiological condition
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",F29,Unspecified psychosis not due to a substance or known physiological condition
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F30-F39,Mood [affective] disorders,F30,Manic episode
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F30-F39,Mood [affective] disorders,F31,Bipolar disorder
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F30-F39,Mood [affective] disorders,F32,"Major depressive disorder, single episode"
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F30-F39,Mood [affective] disorders,F33,"Major depressive disorder, recurrent"
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F30-F39,Mood [affective] disorders,F34,Persistent mood [affective] disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F30-F39,Mood [affective] disorders,F39,Unspecified mood [affective] disorder
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",F40,Phobic anxiety disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",F41,Other anxiety disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",F42,Obsessive-compulsive disorder
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",F43,"Reaction to severe stress, and adjustment disorders"
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",F44,Dissociative and conversion disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",F45,Somatoform disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",F48,Other nonpsychotic mental disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,F50,Eating disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,F51,Sleep disorders not due to a substance or known physiological condition
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,F52,Sexual dysfunction not due to a substance or known physiological condition
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,F53,"Mental and behavioral disorders associated with the puerperium, not elsewhere classified"
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,F55,Abuse of non-psychoactive substances
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,F60,Specific personality disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,F63,Impulse disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,F64,Gender identity disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,F65,Paraphilias
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,F66,Other sexual disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,F68,Other disorders of adult personality and behavior
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F60-F69,Disorders of adult personality and behavior,F69,Unspecified disorder of adult personality and behavior
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F70-F79,Intellectual disabilities,F70,Mild intellectual disabilities
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F70-F79,Intellectual disabilities,F71,Moderate intellectual disabilities
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F70-F79,Intellectual disabilities,F72,Severe intellectual disabilities
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F70-F79,Intellectual disabilities,F73,Profound intellectual disabilities
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F70-F79,Intellectual disabilities,F78,Other intellectual disabilities
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F70-F79,Intellectual disabilities,F79,Unspecified intellectual disabilities
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F80-F89,Pervasive and specific developmental disorders,F80,Specific developmental disorders of speech and language
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F80-F89,Pervasive and specific developmental disorders,F81,Specific developmental disorders of scholastic skills
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F80-F89,Pervasive and specific developmental disorders,F82,Specific developmental disorder of motor function
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F80-F89,Pervasive and specific developmental disorders,F84,Pervasive developmental disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F80-F89,Pervasive and specific developmental disorders,F88,Other disorders of psychological development
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F80-F89,Pervasive and specific developmental disorders,F89,Unspecified disorder of psychological development
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F90,Attention-deficit hyperactivity disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F91,Conduct disorders
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F93,Emotional disorders with onset specific to childhood
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F94,Disorders of social functioning with onset specific to childhood and adolescence
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F95,Tic disorder
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,F98,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",F99-F99,Unspecified mental disorder,F99,"Mental disorder, not otherwise specified"
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G00,"Bacterial meningitis, not elsewhere classified"
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G01,Meningitis in bacterial diseases classified elsewhere
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G02,Meningitis in other infectious and parasitic diseases classified elsewhere
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G03,Meningitis due to other and unspecified causes
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G04,"Encephalitis, myelitis and encephalomyelitis"
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G06,Intracranial and intraspinal abscess and granuloma
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G09,Sequelae of inflammatory diseases of central nervous system
G00-G99,Diseases of the nervous system,G10-G14,Systemic atrophies primarily affecting the central nervous system,G10,Huntington's disease
G00-G99,Diseases of the nervous system,G10-G14,Systemic atrophies primarily affecting the central nervous system,G11,Hereditary ataxia
G00-G99,Diseases of the nervous system,G10-G14,Systemic atrophies primarily affecting the central nervous system,G12,Spinal muscular atrophy and related syndromes
G00-G99,Diseases of the nervous system,G10-G14,Systemic atrophies primarily affecting the central nervous system,G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G10-G14,Systemic atrophies primarily affecting the central nervous system,G14,Postpolio syndrome
G00-G99,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,G20,Parkinson's disease
G00-G99,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,G21,Secondary parkinsonism
G00-G99,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,G23,Other degenerative diseases of basal ganglia
G00-G99,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,G24,Dystonia
G00-G99,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,G25,Other extrapyramidal and movement disorders
G00-G99,Diseases of the nervous system,G20-G26,Extrapyramidal and movement disorders,G26,Extrapyramidal and movement disorders in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G30-G32,Other degenerative diseases of the nervous system,G30,Alzheimer's disease
G00-G99,Diseases of the nervous system,G30-G32,Other degenerative diseases of the nervous system,G31,"Other degenerative diseases of nervous system, not elsewhere classified"
G00-G99,Diseases of the nervous system,G30-G32,Other degenerative diseases of the nervous system,G32,Other degenerative disorders of nervous system in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G35-G37,Demyelinating diseases of the central nervous system,G35,Multiple sclerosis
G00-G99,Diseases of the nervous system,G35-G37,Demyelinating diseases of the central nervous system,G36,Other acute disseminated demyelination
G00-G99,Diseases of the nervous system,G35-G37,Demyelinating diseases of the central nervous system,G37,Other demyelinating diseases of central nervous system
G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G40,Epilepsy and recurrent seizures
G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G43,Migraine
G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G44,Other headache syndromes
G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G45,Transient cerebral ischemic attacks and related syndromes
G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G46,Vascular syndromes of brain in cerebrovascular diseases
G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G47,Sleep disorders
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G50,Disorders of trigeminal nerve
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G51,Facial nerve disorders
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G52,Disorders of other cranial nerves
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G53,Cranial nerve disorders in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G54,Nerve root and plexus disorders
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G55,Nerve root and plexus compressions in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G56,Mononeuropathies of upper limb
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G57,Mononeuropathies of lower limb
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G58,Other mononeuropathies
G00-G99,Diseases of the nervous system,G50-G59,"Nerve, nerve root and plexus disorders",G59,Mononeuropathy in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,G60,Hereditary and idiopathic neuropathy
G00-G99,Diseases of the nervous system,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,G61,Inflammatory polyneuropathy
G00-G99,Diseases of the nervous system,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,G62,Other and unspecified polyneuropathies
G00-G99,Diseases of the nervous system,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,G63,Polyneuropathy in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,G64,Other disorders of peripheral nervous system
G00-G99,Diseases of the nervous system,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,G65,Sequelae of inflammatory and toxic polyneuropathies
G00-G99,Diseases of the nervous system,G70-G73,Diseases of myoneural junction and muscle,G70,Myasthenia gravis and other myoneural disorders
G00-G99,Diseases of the nervous system,G70-G73,Diseases of myoneural junction and muscle,G71,Primary disorders of muscles
G00-G99,Diseases of the nervous system,G70-G73,Diseases of myoneural junction and muscle,G72,Other and unspecified myopathies
G00-G99,Diseases of the nervous system,G70-G73,Diseases of myoneural junction and muscle,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G80-G83,Cerebral palsy and other paralytic syndromes,G80,Cerebral palsy
G00-G99,Diseases of the nervous system,G80-G83,Cerebral palsy and other paralytic syndromes,G81,Hemiplegia and hemiparesis
G00-G99,Diseases of the nervous system,G80-G83,Cerebral palsy and other paralytic syndromes,G82,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G00-G99,Diseases of the nervous system,G80-G83,Cerebral palsy and other paralytic syndromes,G83,Other paralytic syndromes
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G89,"Pain, not elsewhere classified"
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G90,Disorders of autonomic nervous system
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G91,Hydrocephalus
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G92,Toxic encephalopathy
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G93,Other disorders of brain
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G94,Other disorders of brain in diseases classified elsewhere
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G95,Other and unspecified diseases of spinal cord
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G96,Other disorders of central nervous system
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G97,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G98,Other disorders of nervous system not elsewhere classified
G00-G99,Diseases of the nervous system,G89-G99,Other disorders of the nervous system,G99,Other disorders of nervous system in diseases classified elsewhere
H00-H59,Diseases of the eye and adnexa,H00-H05,"Disorders of eyelid, lacrimal system and orbit",H00,Hordeolum and chalazion
H00-H59,Diseases of the eye and adnexa,H00-H05,"Disorders of eyelid, lacrimal system and orbit",H01,Other inflammation of eyelid
H00-H59,Diseases of the eye and adnexa,H00-H05,"Disorders of eyelid, lacrimal system and orbit",H02,Other disorders of eyelid
H00-H59,Diseases of the eye and adnexa,H00-H05,"Disorders of eyelid, lacrimal system and orbit",H04,Disorders of lacrimal system
H00-H59,Diseases of the eye and adnexa,H00-H05,"Disorders of eyelid, lacrimal system and orbit",H05,Disorders of orbit
H00-H59,Diseases of the eye and adnexa,H10-H11,Disorders of conjunctiva,H10,Conjunctivitis
H00-H59,Diseases of the eye and adnexa,H10-H11,Disorders of conjunctiva,H11,Other disorders of conjunctiva
H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H15,Disorders of sclera
H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H16,Keratitis
H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H17,Corneal scars and opacities
H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H18,Other disorders of cornea
H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H20,Iridocyclitis
H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H21,Other disorders of iris and ciliary body
H00-H59,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H22,Disorders of iris and ciliary body in diseases classified elsewhere
H00-H59,Diseases of the eye and adnexa,H25-H28,Disorders of lens,H25,Age-related cataract
H00-H59,Diseases of the eye and adnexa,H25-H28,Disorders of lens,H26,Other cataract
H00-H59,Diseases of the eye and adnexa,H25-H28,Disorders of lens,H27,Other disorders of lens
H00-H59,Diseases of the eye and adnexa,H25-H28,Disorders of lens,H28,Cataract in diseases classified elsewhere
H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H30,Chorioretinal inflammation
H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H31,Other disorders of choroid
H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H32,Chorioretinal disorders in diseases classified elsewhere
H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H33,Retinal detachments and breaks
H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H34,Retinal vascular occlusions
H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H35,Other retinal disorders
H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H36,Retinal disorders in diseases classified elsewhere
H00-H59,Diseases of the eye and adnexa,H40-H42,Glaucoma,H40,Glaucoma
H00-H59,Diseases of the eye and adnexa,H40-H42,Glaucoma,H42,Glaucoma in diseases classified elsewhere
H00-H59,Diseases of the eye and adnexa,H43-H44,Disorders of vitreous body and globe,H43,Disorders of vitreous body
H00-H59,Diseases of the eye and adnexa,H43-H44,Disorders of vitreous body and globe,H44,Disorders of globe
H00-H59,Diseases of the eye and adnexa,H46-H47,Disorders of optic nerve and visual pathways,H46,Optic neuritis
H00-H59,Diseases of the eye and adnexa,H46-H47,Disorders of optic nerve and visual pathways,H47,Other disorders of optic [2nd] nerve and visual pathways
H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49,Paralytic strabismus
H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H50,Other strabismus
H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H51,Other disorders of binocular movement
H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H52,Disorders of refraction and accommodation
H00-H59,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H53,Visual disturbances
H00-H59,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H54,Blindness and low vision
H00-H59,Diseases of the eye and adnexa,H55-H57,Other disorders of eye and adnexa,H55,Nystagmus and other irregular eye movements
H00-H59,Diseases of the eye and adnexa,H55-H57,Other disorders of eye and adnexa,H57,Other disorders of eye and adnexa
H00-H59,Diseases of the eye and adnexa,H59-H59,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified",H59,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified"
H60-H95,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear,H60,Otitis externa
H60-H95,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear,H61,Other disorders of external ear
H60-H95,Diseases of the ear and mastoid process,H60-H62,Diseases of external ear,H62,Disorders of external ear in diseases classified elsewhere
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H65,Nonsuppurative otitis media
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H66,Suppurative and unspecified otitis media
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H67,Otitis media in diseases classified elsewhere
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H68,Eustachian salpingitis and obstruction
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H69,Other and unspecified disorders of Eustachian tube
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H70,Mastoiditis and related conditions
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H71,Cholesteatoma of middle ear
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H72,Perforation of tympanic membrane
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H73,Other disorders of tympanic membrane
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H74,Other disorders of middle ear mastoid
H60-H95,Diseases of the ear and mastoid process,H65-H75,Diseases of middle ear and mastoid,H75,Other disorders of middle ear and mastoid in diseases classified elsewhere
H60-H95,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H80,Otosclerosis
H60-H95,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H81,Disorders of vestibular function
H60-H95,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H82,Vertiginous syndromes in diseases classified elsewhere
H60-H95,Diseases of the ear and mastoid process,H80-H83,Diseases of inner ear,H83,Other diseases of inner ear
H60-H95,Diseases of the ear and mastoid process,H90-H94,Other disorders of ear,H90,Conductive and sensorineural hearing loss
H60-H95,Diseases of the ear and mastoid process,H90-H94,Other disorders of ear,H91,Other and unspecified hearing loss
H60-H95,Diseases of the ear and mastoid process,H90-H94,Other disorders of ear,H92,Otalgia and effusion of ear
H60-H95,Diseases of the ear and mastoid process,H90-H94,Other disorders of ear,H93,"Other disorders of ear, not elsewhere classified"
H60-H95,Diseases of the ear and mastoid process,H90-H94,Other disorders of ear,H94,Other disorders of ear in diseases classified elsewhere
H60-H95,Diseases of the ear and mastoid process,H95-H95,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified",H95,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified"
I00-I99,Diseases of the circulatory system,I00-I02,Acute rheumatic fever,I00,Rheumatic fever without heart involvement
I00-I99,Diseases of the circulatory system,I00-I02,Acute rheumatic fever,I01,Rheumatic fever with heart involvement
I00-I99,Diseases of the circulatory system,I00-I02,Acute rheumatic fever,I02,Rheumatic chorea
I00-I99,Diseases of the circulatory system,I05-I09,Chronic rheumatic heart diseases,I05,Rheumatic mitral valve diseases
I00-I99,Diseases of the circulatory system,I05-I09,Chronic rheumatic heart diseases,I06,Rheumatic aortic valve diseases
I00-I99,Diseases of the circulatory system,I05-I09,Chronic rheumatic heart diseases,I07,Rheumatic tricuspid valve diseases
I00-I99,Diseases of the circulatory system,I05-I09,Chronic rheumatic heart diseases,I08,Multiple valve diseases
I00-I99,Diseases of the circulatory system,I05-I09,Chronic rheumatic heart diseases,I09,Other rheumatic heart diseases
I00-I99,Diseases of the circulatory system,I10-I16,Hypertensive diseases,I10,Essential (primary) hypertension
I00-I99,Diseases of the circulatory system,I10-I16,Hypertensive diseases,I11,Hypertensive heart disease
I00-I99,Diseases of the circulatory system,I10-I16,Hypertensive diseases,I12,Hypertensive chronic kidney disease
I00-I99,Diseases of the circulatory system,I10-I16,Hypertensive diseases,I13,Hypertensive heart and chronic kidney disease
I00-I99,Diseases of the circulatory system,I10-I16,Hypertensive diseases,I15,Secondary hypertension
I00-I99,Diseases of the circulatory system,I10-I16,Hypertensive diseases,I16,Hypertensive crisis
I00-I99,Diseases of the circulatory system,I20-I25,Ischemic heart diseases,I20,Angina pectoris
I00-I99,Diseases of the circulatory system,I20-I25,Ischemic heart diseases,I21,Acute myocardial infarction
I00-I99,Diseases of the circulatory system,I20-I25,Ischemic heart diseases,I22,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
I00-I99,Diseases of the circulatory system,I20-I25,Ischemic heart diseases,I23,Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)
I00-I99,Diseases of the circulatory system,I20-I25,Ischemic heart diseases,I24,Other acute ischemic heart diseases
I00-I99,Diseases of the circulatory system,I20-I25,Ischemic heart diseases,I25,Chronic ischemic heart disease
I00-I99,Diseases of the circulatory system,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,I26,Pulmonary embolism
I00-I99,Diseases of the circulatory system,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,I27,Other pulmonary heart diseases
